Image.Number,NAME,Predicted,Actual,Iterations,Type,Trained
0,Desert0.jpeg,0,0,8119,Desert,Tree
1,Desert1.jpeg,0,0,8119,Desert,Tree
2,Desert2.jpeg,0,0,8119,Desert,Tree
3,Desert3.jpeg,0,0,8119,Desert,Tree
4,Desert4.jpeg,0,0,8119,Desert,Tree
5,Desert5.jpeg,1,0,8119,Desert,Tree
6,Desert6.jpeg,1,0,8119,Desert,Tree
7,Desert7.jpeg,0,0,8119,Desert,Tree
8,Desert8.jpeg,0,0,8119,Desert,Tree
9,Desert9.jpeg,0,0,8119,Desert,Tree
10,Desert10.jpeg,0,0,8119,Desert,Tree
11,Desert11.jpeg,0,0,8119,Desert,Tree
12,Desert12.jpeg,0,0,8119,Desert,Tree
13,Desert13.jpeg,0,0,8119,Desert,Tree
14,Desert14.jpeg,0,0,8119,Desert,Tree
15,Desert15.jpeg,0,0,8119,Desert,Tree
16,Desert16.jpeg,0,0,8119,Desert,Tree
17,Desert17.jpeg,0,0,8119,Desert,Tree
18,Desert18.jpeg,0,0,8119,Desert,Tree
19,Desert19.jpeg,0,0,8119,Desert,Tree
20,Desert20.jpeg,0,0,8119,Desert,Tree
21,Desert21.jpeg,0,0,8119,Desert,Tree
22,Desert22.jpeg,0,0,8119,Desert,Tree
23,Desert23.jpeg,0,0,8119,Desert,Tree
24,Desert24.jpeg,0,0,8119,Desert,Tree
25,Desert25.jpeg,0,0,8119,Desert,Tree
26,Desert26.jpeg,0,0,8119,Desert,Tree
27,Desert27.jpeg,0,0,8119,Desert,Tree
28,Desert28.jpeg,1,0,8119,Desert,Tree
29,Desert29.jpeg,0,0,8119,Desert,Tree
30,Desert30.jpeg,0,0,8119,Desert,Tree
31,Desert31.jpeg,0,0,8119,Desert,Tree
32,Desert32.jpeg,0,0,8119,Desert,Tree
33,Desert33.jpeg,0,0,8119,Desert,Tree
34,Desert34.jpeg,0,0,8119,Desert,Tree
35,Desert35.jpeg,1,0,8119,Desert,Tree
36,Desert36.jpeg,0,0,8119,Desert,Tree
37,Desert37.jpeg,0,0,8119,Desert,Tree
38,Desert38.jpeg,0,0,8119,Desert,Tree
39,Desert39.jpeg,0,0,8119,Desert,Tree
40,Desert40.jpeg,0,0,8119,Desert,Tree
41,Desert41.jpeg,0,0,8119,Desert,Tree
42,Desert42.jpeg,0,0,8119,Desert,Tree
43,Desert43.jpeg,0,0,8119,Desert,Tree
44,Desert44.jpeg,0,0,8119,Desert,Tree
45,Desert45.jpeg,0,0,8119,Desert,Tree
46,Desert46.jpeg,0,0,8119,Desert,Tree
47,Desert47.jpeg,0,0,8119,Desert,Tree
48,Desert48.jpeg,0,0,8119,Desert,Tree
0,Tree0.jpeg,1,1,8119,Tree,Desert
1,Tree1.jpeg,1,1,8119,Tree,Desert
2,Tree2.jpeg,1,1,8119,Tree,Desert
3,Tree3.jpeg,1,1,8119,Tree,Desert
4,Tree4.jpeg,1,1,8119,Tree,Desert
5,Tree5.jpeg,1,1,8119,Tree,Desert
6,Tree6.jpeg,1,1,8119,Tree,Desert
7,Tree7.jpeg,1,1,8119,Tree,Desert
8,Tree8.jpeg,0,1,8119,Tree,Desert
9,Tree9.jpeg,1,1,8119,Tree,Desert
